Number of runs: 300
Individual solver timeout after: 60s
Overall real runtime: 9381.603s
Overall CPU runtime: 9360.442s
Crashes: 22
Solved but misclassified instances: 0
Undecided instances: 129
Solved and correctly classified instances: 149

Crashed instances:
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.005, cpuRuntime = 0.004
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.005, cpuRuntime = 0.004
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.154, cpuRuntime = 60.002
path = inputs/easy100/LDA002-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.143, cpuRuntime = 59.956
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.162, cpuRuntime = 60.033
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.005, cpuRuntime = 0.004
path = inputs/easy100/HWC002-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.144, cpuRuntime = 60.006
path = inputs/easy100/COL001-2.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.129, cpuRuntime = 59.986
path = inputs/easy100/RNG001-3.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.141, cpuRuntime = 59.991
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.126, cpuRuntime = 59.983
path = inputs/easy100/HWV003-2.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.123, cpuRuntime = 60.003
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.125, cpuRuntime = 59.995
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.154, cpuRuntime = 60.014
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.148, cpuRuntime = 60.001
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.157, cpuRuntime = 59.947
path = inputs/easy100/ALG005-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.125, cpuRuntime = 59.985
path = inputs/easy100/LAT001-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.138, cpuRuntime = 59.999
path = inputs/easy100/LAT005-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.180, cpuRuntime = 59.848
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004
path = inputs/easy100/KLE090-10.p, config = {solver = BadProver, demodulation_index = fingerprint}, target = Target.UNSAT, result = Result.CRASH, returnCode = -11, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 61.128, cpuRuntime = 59.988

Undecided instances (out of time or other constrained resources):
path = inputs/easy100/ALG004-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.107, cpuRuntime = 60.065
path = inputs/easy100/FLD001-3.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.038, cpuRuntime = 60.013
path = inputs/easy100/LCL004-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 60.014
path = inputs/easy100/NLP007-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.985
path = inputs/easy100/LCL002-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.021, cpuRuntime = 59.973
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.998
path = inputs/easy100/SWC002-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.032, cpuRuntime = 59.969
path = inputs/easy100/SCT002-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.035, cpuRuntime = 59.970
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.052, cpuRuntime = 60.021
path = inputs/easy100/SWC001-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.031, cpuRuntime = 60.005
path = inputs/easy100/FLD003-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.061, cpuRuntime = 60.022
path = inputs/easy100/HWC002-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 59.999
path = inputs/easy100/COL002-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.016
path = inputs/easy100/RNG001-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.057, cpuRuntime = 60.016
path = inputs/easy100/COL001-2.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.972
path = inputs/easy100/ROB003-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.973
path = inputs/easy100/MGT001-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.066, cpuRuntime = 60.030
path = inputs/easy100/ANA003-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.041, cpuRuntime = 60.010
path = inputs/easy100/RNG001-3.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.059, cpuRuntime = 59.990
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 59.980
