Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6205.398s
Overall CPU runtime: 6203.069s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '1\n0\n', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '1\n0\n', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.005, cpuRuntime = 0.004
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '1\n1\n', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '1\n1\n', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004

Undecided instances (out of time or other constrained resources):
path = inputs/easy100/ALG004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.089, cpuRuntime = 60.044
path = inputs/easy100/FLD001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.037, cpuRuntime = 60.031
path = inputs/easy100/LCL004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.019, cpuRuntime = 60.016
path = inputs/easy100/NLP007-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.994
path = inputs/easy100/LCL002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 60.016
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.993
path = inputs/easy100/SWC002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.008
path = inputs/easy100/SCT002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.033, cpuRuntime = 60.011
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.032, cpuRuntime = 60.027
path = inputs/easy100/SWC001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.025, cpuRuntime = 59.998
path = inputs/easy100/FLD003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.055, cpuRuntime = 60.049
path = inputs/easy100/HWC002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.014
path = inputs/easy100/COL002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.024, cpuRuntime = 59.994
path = inputs/easy100/RNG001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.048, cpuRuntime = 60.044
path = inputs/easy100/COL001-2.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.980
path = inputs/easy100/ROB003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.004
path = inputs/easy100/MGT001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.060, cpuRuntime = 60.025
path = inputs/easy100/ANA003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.035, cpuRuntime = 59.984
path = inputs/easy100/RNG001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.048, cpuRuntime = 60.021
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.978
path = inputs/easy100/COL001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 59.971
path = inputs/easy100/SWV002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.021, cpuRuntime = 59.984
path = inputs/easy100/LAT002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 60.011
path = inputs/easy100/CAT001-4.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.025, cpuRuntime = 60.000
path = inputs/easy100/HWV001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.981
path = inputs/easy100/HWV003-2.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.982
path = inputs/easy100/GEO001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.017, cpuRuntime = 60.014
path = inputs/easy100/KLE044-10.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.974
path = inputs/easy100/ANA002-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.036, cpuRuntime = 60.009
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.984
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.034, cpuRuntime = 59.978
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.046, cpuRuntime = 60.022
path = inputs/easy100/CSR034-10.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 59.975
path = inputs/easy100/BOO002-2.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.004
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.025, cpuRuntime = 59.979
