Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6183.240s
Overall CPU runtime: 6180.191s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '0\n1\n', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.005, cpuRuntime = 0.004
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '0\n1\n', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.005, cpuRuntime = 0.004
path = inputs/easy100/NUN134-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '1\n1\n', stderr = 'Error: TPTP parse error at line 26, column 5: quoted/distinct-object terms are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004
path = inputs/easy100/SYN000-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.CRASH, returnCode = 1, stdout = '1\n1\n', stderr = 'Error: TPTP parse error at line 47, column 7: built-in $-prefixed symbols are not supported\n', realRuntime = 0.004, cpuRuntime = 0.004

Undecided instances (out of time or other constrained resources):
path = inputs/easy100/ALG004-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.096, cpuRuntime = 60.063
path = inputs/easy100/FLD001-3.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.037, cpuRuntime = 60.029
path = inputs/easy100/LCL004-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.075, cpuRuntime = 60.048
path = inputs/easy100/NLP007-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.093, cpuRuntime = 60.045
path = inputs/easy100/LCL002-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.081, cpuRuntime = 60.027
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.018, cpuRuntime = 59.966
path = inputs/easy100/SWC002-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.040, cpuRuntime = 59.997
path = inputs/easy100/SCT002-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.052, cpuRuntime = 59.999
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.067, cpuRuntime = 60.015
path = inputs/easy100/SWC001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.041, cpuRuntime = 60.034
path = inputs/easy100/FLD003-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.058, cpuRuntime = 60.049
